
1.00000000 0.00605438
0.99899559 0.00624601
0.99838873 0.00634042
0.99590265 0.00665717
0.99217445 0.00713130
0.97134597 0.00962893
0.95095198 0.01162551
0.94990012 0.01173379
0.94927814 0.01179844
0.93412660 0.01342858
0.92855367 0.01406226
0.91376113 0.01580928
0.91264603 0.01595662
0.90562224 0.01691407
0.89417897 0.01862359
0.89182362 0.01900555
0.88483713 0.02022989
0.87960176 0.02124636
0.87841147 0.02148471
0.86623241 0.02399965
0.85764984 0.02604057
0.85630377 0.02642014
0.85518544 0.02674247
0.84124186 0.03121599
0.83760831 0.03252718
0.83064272 0.03507892
0.82286603 0.03794887
0.81471112 0.04107770
0.80129247 0.04613295
0.79254112 0.04940975
0.78120585 0.05359632
0.77707420 0.05508492
0.76328013 0.06001540
0.76263363 0.06024131
0.74492122 0.06631700
0.73888225 0.06830620
0.73053926 0.07099789
0.71980912 0.07437415
0.71718222 0.07516111
0.69696665 0.08107925
0.69252087 0.08229817
0.67932967 0.08573364
0.67914011 0.08578193
0.67873590 0.08588473
0.66662218 0.08885085
0.66288039 0.08972265
0.64873933 0.09283629
0.64526992 0.09357162
0.63390946 0.09581722
0.62496303 0.09747345
0.61717777 0.09884779
0.60879689 0.10027348
0.60432846 0.10097594
0.59833452 0.10189579
0.59778508 0.10197175
0.59742023 0.10202182
0.58304801 0.10407912
0.56716252 0.10610367
0.56575301 0.10627373
0.56378740 0.10650638
0.55382622 0.10761319
0.54474053 0.10857009
0.54270886 0.10877528
0.53181371 0.10977882
0.53120724 0.10982930
0.53000500 0.10992985
0.51739253 0.11095887
0.51013510 0.11147081
0.50434445 0.11183788
0.49527615 0.11235327
0.48826615 0.11273503
0.47431561 0.11336960
0.47324806 0.11341300
0.47170577 0.11347372
0.45962222 0.11388599
0.45654467 0.11397536
0.45019075 0.11411477
0.44613884 0.11419314
0.43516826 0.11436037
0.43037786 0.11442355
0.42900707 0.11443983
0.41629324 0.11449147
0.41506449 0.11448814
0.40383150 0.11439636
0.40095998 0.11435364
0.39307262 0.11422812
0.38784839 0.11412475
